id;company_name;contact_name;email;phone;address;city;country;website
1;off;unless surface;Alfred90@gmail.com;282-247-6189;gah boohoo;New Franzfield;Gambia;clear-cut angrily
2;pish general speedily;downchange cautiously;Janae_Kris47@gmail.com;1-901-907-4860 x5402;spherical next;Somerville;Russian Federation;mmm
3;ugh correctly;nervously tensely woot;Vincenzo_Murphy@hotmail.com;527.747.3802;within publicity;White Plains;Kiribati;longboat sore
4;by brr once;besides smug;Easter.Armstrong@yahoo.com;(840) 662-8508;upbeat sticky;New Zaneshire;Sao Tome and Principe;phew offend sweetly
5;volleyball infinite;anxiously longingly wherever;Annabelle91@yahoo.com;811.318.3498 x321;unlike limply wicked;College Station;Marshall Islands;near forenenst criminal
6;oof because hmph;prejudge certification;Patsy.Toy33@hotmail.com;977.718.9372 x962;yum scuffle aside;Dundalk;Sierra Leone;duh hm
7;like supplier above;sometimes;Kristopher45@gmail.com;1-433-810-5599;supposing inasmuch plain;West Francis;Italy;proliferate vista
8;ugh though;tapioca oh sushi;Katelynn_Keeling@gmail.com;963.286.1425;helpfully divine;East Jarenburgh;Saint Pierre and Miquelon;wholly boo
9;video versus;before;Winfield.Ankunding34@hotmail.com;(371) 591-3062 x633;anti unfurl except;North Hilbertberg;Finland;sour obnoxiously meanwhile
10;mmm glimmer even;who slushy;David_Jacobson@hotmail.com;(342) 376-2410 x7047;respectful;Fort Myers;Liechtenstein;collaborate
